Year,Season,Cruise,Region,Field_ID,TOW_ID,DATE_Deploy,TIME_Deploy,Decimal Latitude at deployment (WGS84),Decimal Longitude at deployment (WGS84),FLOW_METER_READING_deploy,DATE_Retrieve,TIME_Retrieve,decLat_Retrieve,decLong_Retrieve,FLOW_METER_READING_retrieve,Tow_length (m),vol_filtered_m3,WIND_SPEED,WIND_Direction,SEA_STATE,Ship Speed,SUM_micro_km2,SUM_Macro_km2,fibres_LTE5mm_ km2,beads_LTE5mm_ km2,polystyrene_LTE5mm_ km2,fragments_LTE5mm_ km2,film_LTE5mm_ km2,nurdles_LTE5mm_ km2,paint_flakes_LTE5mm_ km2,fibres_GT5mm_ km2,beads_GT5mm_ km2,polystyrene_GT5mm_ km2,fragments_GT5mm_ km2,film_GT5mm_ km2,nurdles_GT5mm_ km2,paint_flakes_GT5mm_ km2,SUM_micro_m3,SUM_Macro_m3,fibres_LTE5mm_m3,beads_LTE5mm_m3,polystyrene_LTE5mm_m3,fragments_LTE5mm_m3,film_LTE5mm_m3,nurdles_LTE5mm_m3,paint_flakes_LTE5mm_m3,fibres_GT5mm_m3,beads_GT5mm_m3,polystyrene_GT5mm_m3,fragments_GT5mm_m3,film_GT5mm_m3,nurdles_GT5mm_m3,paint_flakes_GT5mm_m3,SUM_LTE5mm_count,SUM_GT5mm_count,fibres_LTE5mm_count,beads_LTE5mm_count,polystyrene_LTE5mm_count,fragments_LTE5mm_count,film_LTE5mm_count,nurdles_LTE5mm_count,paint_flakes_LTE5mm_count,fibres_GT5mm_count,beads_GT5mm_count,polystyrene_GT5mm_count,fragments_GT5mm_count,film_GT5mm_count,nurdles_GT5mm_count,paint_flakes_GT5mm_count
2014,2013-2014,0114S,Forth and Tay,FoF1,0114S_01,06/01/2014,16:23,56.09267,-2.735,8212,06/01/2014,17:05,56.08633,-2.83967,24662,4935,130,20,214,5,6,5715,0,0,1039,520,3637,0,520,0,0,0,0,0,0,0,0,0.0847,0,0,0.0154,0.0077,0.0539,0,0.0077,0,0,0,0,0,0,0,0,11,0,0,2,1,7,0,1,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,Forth and Tay,FoF2,0114S_02,06/01/2014,17:24,56.105,-2.82933,24662,06/01/2014,18:25,56.136,-2.69017,39113,4335,114,19,216,5,6,9463,0,1183,591,1774,1774,591,591,2957,0,0,0,0,0,0,0,0.1402,0,0.0175,0.0088,0.0263,0.0263,0.0088,0.0088,0.0438,0,0,0,0,0,0,0,16,0,2,1,3,3,1,1,5,0,0,0,0,0,0,0
2014,2013-2014,0114S,Moray Firth,MF2,0114S_06,08/01/2014,14:01,57.73,-3.83083,46519,08/01/2014,15:05,57.84333,-3.735,79946,10028,264,17,239,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,Moray Firth,MF3,0114S_07,08/01/2014,15:40,57.89267,-3.74833,79946,08/01/2014,16:10,57.88667,-3.8495,300,6106,161,16,235,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,Moray Firth,MF4,0114S_08,08/01/2014,18:50,57.88933,-3.44233,300,08/01/2014,19:50,57.9465,-3.28083,33753,10036,264,22,237,3,6,1022,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0.0151,0,0,0,0,0.0151,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,Fladen and Moray Firth Offshore,SHET1,0114S_09,09/01/2014,09:00,59.31917,-0.61083,33753,09/01/2014,10:00,59.40633,-0.44467,60678,8078,213,10,261,3,6,317,1587,0,0,0,317,0,0,0,317,0,0,952,317,0,0,0.0047,0.0235,0,0,0,0.0047,0,0,0,0.0047,0,0,0.0141,0.0047,0,0,1,5,0,0,0,1,0,0,0,1,0,0,3,1,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB1,0114S_10,09/01/2014,18:35,60.37067,1.08033,60679,09/01/2014,19:26,60.3445,1.27733,72083,3421,90,2,38,1,7,749,0,0,0,0,749,0,0,0,0,0,0,0,0,0,0,0.0111,0,0,0,0,0.0111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB2,0114S_11,10/01/2014,00:27,60.462,1.34217,72083,10/01/2014,01:37,60.59667,1.341,10872,11636,306,9,265,3,7,5288,1322,1542,0,220,3526,0,0,0,1322,0,0,0,0,0,0,0.0783,0.0196,0.0229,0,0.0033,0.0522,0,0,0,0.0196,0,0,0,0,0,0,24,6,7,0,1,16,0,0,0,6,0,0,0,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB3,0114S_12,10/01/2014,02:47,60.678,1.34133,10872,10/01/2014,03:47,60.78783,1.413,52907,12611,332,6,279,2,7,1220,0,407,0,0,610,0,203,0,0,0,0,0,0,0,0,0.0181,0,0.006,0,0,0.009,0,0.003,0,0,0,0,0,0,0,0,6,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB4,0114S_13,10/01/2014,06:27,61.05083,1.4635,52907,10/01/2014,07:29,61.13017,1.36183,86200,9988,263,5,356,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB5,0114S_14,10/01/2014,12:05,60.93833,1.21383,86200,10/01/2014,13:35,60.77667,1.0885,31437,13571,357,4,15,2,7,1700,378,0,0,189,1512,0,0,0,189,0,0,0,189,0,0,0.0252,0.0056,0,0,0.0028,0.0224,0,0,0,0.0028,0,0,0,0.0028,0,0,9,2,0,0,1,8,0,0,0,1,0,0,0,1,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB6,0114S_15,10/01/2014,13:45,60.764,1.079,31438,10/01/2014,15:01,60.63183,0.99133,76675,13571,357,6,294,2,7,5668,378,0,0,3779,1512,378,0,0,0,0,0,378,0,0,0,0.084,0.0056,0,0,0.056,0.0224,0.0056,0,0,0,0,0,0.0056,0,0,0,30,2,0,0,20,8,2,0,0,0,0,0,2,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,ESB7,0114S_16,10/01/2014,15:43,60.623,0.99117,76675,10/01/2014,16:45,60.72733,0.95783,10586,10173,268,8,303,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,SHET2,0114S_17,10/01/2014,19:39,60.64567,0.75067,10586,10/01/2014,21:05,60.58017,0.525,56903,13895,366,5,246,2,7,2768,1476,0,0,0,2214,369,185,0,369,0,369,0,738,0,0,0.041,0.0219,0,0,0,0.0328,0.0055,0.0027,0,0.0055,0,0.0055,0,0.0109,0,0,15,8,0,0,0,12,2,1,0,2,0,2,0,4,0,0
2014,2013-2014,0114S,East Shetland Shelf,SHET3,0114S_18,10/01/2014,21:10,60.578,0.5205,56903,10/01/2014,22:51,60.51717,0.25767,3947,14113,372,15,291,4,5,1999,182,0,0,0,1453,545,0,0,0,0,0,182,0,0,0,0.0296,0.0027,0,0,0,0.0215,0.0081,0,0,0,0,0,0.0027,0,0,0,11,1,0,0,0,8,3,0,0,0,0,0,1,0,0,0
2014,2013-2014,0114S,East Shetland Shelf,SHET4,0114S_19,10/01/2014,23:00,60.51283,0.24267,3947,10/01/2014,23:50,60.48933,0.114,29740,7738,204,20,238,5,5,0,663,0,0,0,0,0,0,0,331,0,0,331,0,0,0,0,0.0098,0,0,0,0,0,0,0,0.0049,0,0,0.0049,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,2013-2014,0114S,Shetland Isles,SHET5,0114S_20,11/01/2014,03:56,60.214,-0.953,29740,11/01/2014,05:33,60.26983,-0.68233,82377,15791,416,17,267,5,5,0,162,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,2013-2014,0114S,Shetland Isles,SHET6,0114S_21,11/01/2014,06:43,60.14683,-0.94967,82377,11/01/2014,07:59,60.255,-0.945,30390,14404,379,26,261,3,5,356,356,356,0,0,0,0,0,0,0,0,0,356,0,0,0,0.0053,0.0053,0.0053,0,0,0,0,0,0,0,0,0,0.0053,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
2014,2013-2014,0114S,Shetland Isles,SHET7,0114S_22,11/01/2014,11:24,60.21017,-1.15667,30390,11/01/2014,12:25,60.24917,-0.99867,64812,10327,272,15,279,4,5,497,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0.0074,0,0,0,0,0.0074,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2014,2013-2014,0114S,Shetland Isles,SHET8,0114S_23,12/01/2014,08:16,60.7555,-1.24033,64812,12/01/2014,09:20,60.6995,-1.40267,95970,9347,246,5.7,354,2,5,274,274,274,0,0,0,0,0,0,0,0,0,274,0,0,0,0.0041,0.0041,0.0041,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
