Rep,Station,Latitude,Longitude,Year,Number of particles,Number of particles Blank_Corrected,Sediment dried weight in g,"Number of particles per kg d.w. sediment ",Gravel %,Sand %,Silt %,Coastal,Region,OC2,Nit2,OC63,Nit63
1,245,55.0083,-1.1333,2013,41,38,5,7600,0.04,48.34,51.62,coastal,Northern North Sea,1.41,0.13,2.52,0.27
2,245,55.0083,-1.1333,2013,61,58,5,11600,0.04,48.34,51.62,coastal,Northern North Sea,1.41,0.13,2.52,0.27
3,245,55.0083,-1.1333,2013,45,42,5,8400,0.04,48.34,51.62,coastal,Northern North Sea,1.41,0.13,2.52,0.27
1,295,54.7333,-0.8833,2013,12,9,5,1800,1.67,84.01,14.32,coastal,Northern North Sea,0.4,0.05,4.25,0.41
2,295,54.7333,-0.8833,2013,20,17,5,3400,1.67,84.01,14.32,coastal,Northern North Sea,0.4,0.05,4.25,0.41
3,295,54.7333,-0.8833,2013,10,7,5,1400,1.67,84.01,14.32,coastal,Northern North Sea,0.4,0.05,4.25,0.41
1,285,54.8333,1.3333,2013,15,12,5,2400,4.19,90.87,4.94,offshore,Northern North Sea,0.1,0.04,NA,NA
2,285,54.8333,1.3333,2013,21,18,5,3600,4.19,90.87,4.94,offshore,Northern North Sea,0.1,0.04,NA,NA
3,285,54.8333,1.3333,2013,33,30,5,6000,4.19,90.87,4.94,offshore,Northern North Sea,0.1,0.04,NA,NA
1,345,54,2,2013,115,112,5,22400,0,82.27,17.73,offshore,Northern North Sea,0.36,0.06,1.7,0.22
2,345,54,2,2013,57,54,5,10800,0,82.27,17.73,offshore,Northern North Sea,0.36,0.06,1.7,0.22
3,345,54,2,2013,180,177,5,35400,0,82.27,17.73,offshore,Northern North Sea,0.36,0.06,1.7,0.22
1,466,51.4967,1,2013,17,14,5,2800,13.91,73.67,12.41,coastal,Sothern North Sea,0.25,0.05,1.2,0.18
2,466,51.4967,1,2013,24,21,5,4200,13.91,73.67,12.41,coastal,Sothern North Sea,0.25,0.05,1.2,0.18
3,466,51.4967,1,2013,9,6,5,1200,13.91,73.67,12.41,coastal,Sothern North Sea,0.25,0.05,1.2,0.18
1,376,53.3333,0.5833,2013,32,29,5,5800,13.18,61.39,25.43,coastal,Sothern North Sea,0.68,0.09,5.27,0.59
2,376,53.3333,0.5833,2013,14,11,5,2200,13.18,61.39,25.43,coastal,Sothern North Sea,0.68,0.09,5.27,0.59
3,376,53.3333,0.5833,2013,66,63,5,12600,13.18,61.39,25.43,coastal,Sothern North Sea,0.68,0.09,5.27,0.59
1,475,52,2.3333,2013,33,30,5,6000,0.63,99.37,0,offshore,Sothern North Sea,0.04,0.03,NA,NA
2,475,52,2.3333,2013,23,20,5,4000,0.63,99.37,0,offshore,Sothern North Sea,0.04,0.03,NA,NA
3,475,52,2.3333,2013,15,12,5,2400,0.63,99.37,0,offshore,Sothern North Sea,0.04,0.03,NA,NA
1,484,50.9833,1.0167,2013,9,6,5,1200,0.13,53.37,46.5,coastal,English Channel,0.7,0.11,1.35,0.2
2,484,50.9833,1.0167,2013,4,1,5,200,0.13,53.37,46.5,coastal,English Channel,0.7,0.11,1.35,0.2
3,484,50.9833,1.0167,2013,6,3,5,600,0.13,53.37,46.5,coastal,English Channel,0.7,0.11,1.35,0.2
1,605,51.25,-6,2014,13,10,5,2000,0,49.76,50.24,offshore,Western English Channel & Celtic Sea,0.89,0.1,1.96,0.28
2,605,51.25,-6,2014,10,7,5,1400,0,49.76,50.24,offshore,Western English Channel & Celtic Sea,0.89,0.1,1.96,0.28
3,605,51.25,-6,2014,8,5,5,1000,0,49.76,50.24,offshore,Western English Channel & Celtic Sea,0.89,0.1,1.96,0.28
1,655,52.3583,-4.175,2014,63,60,5,12000,1.31,30.54,68.15,coastal,Irish Sea,1.03,0.12,1.28,0.2
2,655,52.3583,-4.175,2014,16,13,5,2600,1.31,30.54,68.15,coastal,Irish Sea,1.03,0.12,1.28,0.2
3,655,52.3583,-4.175,2014,36,33,5,6600,1.31,30.54,68.15,coastal,Irish Sea,1.03,0.12,1.28,0.2
1,805,54,-3.8333,2014,18,15,5,3000,0.04,89.74,10.21,offshore,Irish Sea,0.11,0.02,1.62,0.27
2,805,54,-3.8333,2014,50,47,5,9400,0.04,89.74,10.21,offshore,Irish Sea,0.11,0.02,1.62,0.27
3,805,54,-3.8333,2014,36,33,5,6600,0.04,89.74,10.21,offshore,Irish Sea,0.11,0.02,1.62,0.27
1,536,50.43,-3.1217,2014,33,30,5,6000,0.01,80.53,19.46,coastal,Western English Channel,0.33,0.05,1.8,0.33
2,536,50.43,-3.1217,2014,34,31,5,6200,0.01,80.53,19.46,coastal,Western English Channel,0.33,0.05,1.8,0.33
3,536,50.43,-3.1217,2014,32,29,5,5800,0.01,80.53,19.46,coastal,Western English Channel,0.33,0.05,1.8,0.33
1,575,50.295,-4.1622,2014,47,44,5,8800,27,41.41,31.59,coastal,Celtic Sea,1.26,0.11,1.57,0.22
2,575,50.295,-4.1622,2014,43,40,5,8000,27,41.41,31.59,coastal,Celtic Sea,1.26,0.11,1.57,0.22
3,575,50.295,-4.1622,2014,21,18,5,3600,27,41.41,31.59,coastal,Celtic Sea,1.26,0.11,1.57,0.22
1,715,53.5,-3.6917,2014,11,8,5,1600,9.65,82.14,8.22,coastal,Irish Sea,0.13,0.03,1.82,0.28
2,715,53.5,-3.6917,2014,1,0,5,0,9.65,82.14,8.22,coastal,Irish Sea,0.13,0.03,1.82,0.28
3,715,53.5,-3.6917,2014,3,0,5,0,9.65,82.14,8.22,coastal,Irish Sea,0.13,0.03,1.82,0.28
1,484,50.9833,1.0167,2015,51,48,5,9600,0.13,33.04,66.83,coastal,English Channel,0.37,0.07,1.27,0.19
2,484,50.9833,1.0167,2015,16,13,5,2600,0.13,33.04,66.83,coastal,English Channel,0.37,0.07,1.27,0.19
3,484,50.9833,1.0167,2015,13,10,5,2000,0.13,33.04,66.83,coastal,English Channel,0.37,0.07,1.27,0.19
1,245_295,55.24622474,-0.787873534,2015,59,56,5,11200,0.26,38.84,60.9,coastal,Northern North Sea,0.41,0.15,2.42,0.24
2,245_295,55.24622474,-0.787873534,2015,13,10,5,2000,0.26,38.84,60.9,coastal,Northern North Sea,0.41,0.15,2.42,0.24
3,245_295,55.24622474,-0.787873534,2015,35,32,5,6400,0.26,38.84,60.9,coastal,Northern North Sea,0.41,0.15,2.42,0.24
1,345,54,2,2015,53,50,5,10000,0.01,70.59,29.4,offshore,Northern North Sea,0.92,0.1,1.9,0.23
2,345,54,2,2015,58,55,5,11000,0.01,70.59,29.4,offshore,Northern North Sea,0.92,0.1,1.9,0.23
3,345,54,2,2015,33,30,5,6000,0.01,70.59,29.4,offshore,Northern North Sea,0.92,0.1,1.9,0.23
1,285,54.8333,1.3333,2015,12,9,5,1800,8.16,87.1,4.74,offshore,Northern North Sea,0.36,0.07,3.4,0.43
2,285,54.8333,1.3333,2015,22,19,5,3800,8.16,87.1,4.74,offshore,Northern North Sea,0.36,0.07,3.4,0.43
3,285,54.8333,1.3333,2015,13,10,5,2000,8.16,87.1,4.74,offshore,Northern North Sea,0.36,0.07,3.4,0.43
1,376,53.3333,0.5833,2015,38,35,5,7000,12.87,53.93,33.2,coastal,Sothern North Sea,1,0.2,2.42,0.25
2,376,53.3333,0.5833,2015,39,36,5,7200,12.87,53.93,33.2,coastal,Sothern North Sea,1,0.2,2.42,0.25
3,376,53.3333,0.5833,2015,52,49,5,9800,12.87,53.93,33.2,coastal,Sothern North Sea,1,0.2,2.42,0.25
1,386,52.983,0.3347,2015,32,29,5,5800,12.93,76.63,10.43,coastal,Sothern North Sea,0.52,0.15,2.4,0.27
2,386,52.983,0.3347,2015,26,23,5,4600,12.93,76.63,10.43,coastal,Sothern North Sea,0.52,0.15,2.4,0.27
3,386,52.983,0.3347,2015,41,38,5,7600,12.93,76.63,10.43,coastal,Sothern North Sea,0.52,0.15,2.4,0.27
1,475,52,2.3333,2015,26,23,5,4600,0.45,99.55,0,offshore,Sothern North Sea,0.29,0.06,1.76,0.25
2,475,52,2.3333,2015,22,19,5,3800,0.45,99.55,0,offshore,Sothern North Sea,0.29,0.06,1.76,0.25
3,475,52,2.3333,2015,35,32,5,6400,0.45,99.55,0,offshore,Sothern North Sea,0.29,0.06,1.76,0.25
1,805,54,-3.8333,2016,5,2,5,400,0.03,94.62,5.35,offshore,Irish Sea,0.07,0.02,1.84,0.67
2,805,54,-3.8333,2016,4,1,5,200,0.03,94.62,5.35,offshore,Irish Sea,0.07,0.02,1.84,0.67
3,805,54,-3.8333,2016,3,0,5,0,0.03,94.62,5.35,offshore,Irish Sea,0.07,0.02,1.84,0.67
1,536,50.43,-3.1217,2016,7,4,5,800,0.04,87.51,12.45,coastal,Western English Channel,0.19,0.03,2.28,0.47
2,536,50.43,-3.1217,2016,15,12,5,2400,0.04,87.51,12.45,coastal,Western English Channel,0.19,0.03,2.28,0.47
3,536,50.43,-3.1217,2016,3,0,5,0,0.04,87.51,12.45,coastal,Western English Channel,0.19,0.03,2.28,0.47
1,655,52.3583,-4.175,2016,3,0,5,0,0.84,35.48,63.68,coastal,Irish Sea,0.96,0.12,1.23,0.22
2,655,52.3583,-4.175,2016,10,7,5,1400,0.84,35.48,63.68,coastal,Irish Sea,0.96,0.12,1.23,0.22
3,655,52.3583,-4.175,2016,16,13,5,2600,0.84,35.48,63.68,coastal,Irish Sea,0.96,0.12,1.23,0.22
1,715,53.5,-3.6917,2016,9,6,5,1200,2.31,96.08,1.62,coastal,Irish Sea,0.05,0.01,1.93,0.51
2,715,53.5,-3.6917,2016,0,0,5,0,2.31,96.08,1.62,coastal,Irish Sea,0.05,0.01,1.93,0.51
3,715,53.5,-3.6917,2016,20,17,5,3400,2.31,96.08,1.62,coastal,Irish Sea,0.05,0.01,1.93,0.51
1,605,51.25,-6,2016,9,6,5,1200,0.01,58.68,41.32,offshore,Western English Channel & Celtic Sea,0.87,0.09,1.82,0.44
2,605,51.25,-6,2016,9,6,5,1200,0.01,58.68,41.32,offshore,Western English Channel & Celtic Sea,0.87,0.09,1.82,0.44
3,605,51.25,-6,2016,12,9,5,1800,0.01,58.68,41.32,offshore,Western English Channel & Celtic Sea,0.87,0.09,1.82,0.44
1,575,50.295,-4.1622,2016,9,6,5,1200,44.64,34.52,20.84,coastal,Celtic Sea,0.77,0.08,1.78,0.45
2,575,50.295,-4.1622,2016,5,2,5,400,44.64,34.52,20.84,coastal,Celtic Sea,0.77,0.08,1.78,0.45
3,575,50.295,-4.1622,2016,22,19,5,3800,44.64,34.52,20.84,coastal,Celtic Sea,0.77,0.08,1.78,0.45
1,285,54.8333,1.3333,2017,0,0,5,0,2.34,93.84,3.82,offshore,Northern North Sea,0.1,0.02,NA,NA
2,285,54.8333,1.3333,2017,1,0,5,0,2.34,93.84,3.82,offshore,Northern North Sea,0.1,0.02,NA,NA
3,285,54.8333,1.3333,2017,1,0,5,0,2.34,93.84,3.82,offshore,Northern North Sea,0.1,0.02,NA,NA
1,386,52.983,0.3347,2017,7,4,5,800,15.65,81.16,3.19,coastal,Sothern North Sea,0.18,0.03,2.34,0.28
2,386,52.983,0.3347,2017,5,2,5,400,15.65,81.16,3.19,coastal,Sothern North Sea,0.18,0.03,2.34,0.28
3,386,52.983,0.3347,2017,11,8,5,1600,15.65,81.16,3.19,coastal,Sothern North Sea,0.18,0.03,2.34,0.28
1,466,51.4967,1,2017,17,14,5,2800,22.43,64.46,13.11,coastal,Sothern North Sea,0.21,0.04,1.09,0.16
2,466,51.4967,1,2017,13,10,5,2000,22.43,64.46,13.11,coastal,Sothern North Sea,0.21,0.04,1.09,0.16
3,466,51.4967,1,2017,17,14,5,2800,22.43,64.46,13.11,coastal,Sothern North Sea,0.21,0.04,1.09,0.16
1,376,53.3333,0.5833,2017,18,15,5,3000,20.91,54.13,24.96,coastal,Sothern North Sea,0.72,0.08,2,0.19
2,376,53.3333,0.5833,2017,26,23,5,4600,20.91,54.13,24.96,coastal,Sothern North Sea,0.72,0.08,2,0.19
3,376,53.3333,0.5833,2017,17,14,5,2800,20.91,54.13,24.96,coastal,Sothern North Sea,0.72,0.08,2,0.19
1,295,54.7333,-0.8833,2017,26,23,5,4600,0.02,84.2,15.78,coastal,Northern North Sea,0.34,0.04,4.02,0.37
2,295,54.7333,-0.8833,2017,21,18,5,3600,0.02,84.2,15.78,coastal,Northern North Sea,0.34,0.04,4.02,0.37
3,295,54.7333,-0.8833,2017,16,13,5,2600,0.02,84.2,15.78,coastal,Northern North Sea,0.34,0.04,4.02,0.37
1,345,54,2,2017,30,27,5,5400,0.01,80.94,19.06,offshore,Northern North Sea,0.26,0.03,1.78,0.21
2,345,54,2,2017,31,28,5,5600,0.01,80.94,19.06,offshore,Northern North Sea,0.26,0.03,1.78,0.21
3,345,54,2,2017,41,38,5,7600,0.01,80.94,19.06,offshore,Northern North Sea,0.26,0.03,1.78,0.21
1,484,50.9833,1.0167,2017,44,41,5,8200,0.22,38.94,60.83,coastal,English Channel,0.73,0.1,1.11,0.16
2,484,50.9833,1.0167,2017,69,66,5,13200,0.22,38.94,60.83,coastal,English Channel,0.73,0.1,1.11,0.16
3,484,50.9833,1.0167,2017,65,62,5,12400,0.22,38.94,60.83,coastal,English Channel,0.73,0.1,1.11,0.16
1,245,55.0083,-1.1333,2017,78,75,5,15000,0.18,45.17,54.65,coastal,Northern North Sea,1.34,0.14,2.33,0.24
2,245,55.0083,-1.1333,2017,174,171,5,34200,0.18,45.17,54.65,coastal,Northern North Sea,1.34,0.14,2.33,0.24
3,245,55.0083,-1.1333,2017,111,108,5,21600,0.18,45.17,54.65,coastal,Northern North Sea,1.34,0.14,2.33,0.24
1,715,53.5,-3.6917,2018,7,4,5,800,0.89,90.47,8.64,coastal,Irish Sea,0.16,0.03,2.08,0.3
2,715,53.5,-3.6917,2018,4,1,5,200,0.89,90.47,8.64,coastal,Irish Sea,0.16,0.03,2.08,0.3
3,715,53.5,-3.6917,2018,4,1,5,200,0.89,90.47,8.64,coastal,Irish Sea,0.16,0.03,2.08,0.3
1,805,54,-3.8333,2018,10,7,5,1400,0.02,86.2,13.78,offshore,Irish Sea,0.22,0.03,2.05,0.29
2,805,54,-3.8333,2018,8,5,5,1000,0.02,86.2,13.78,offshore,Irish Sea,0.22,0.03,2.05,0.29
3,805,54,-3.8333,2018,4,1,5,200,0.02,86.2,13.78,offshore,Irish Sea,0.22,0.03,2.05,0.29
1,605,51.25,-6,2018,9,6,5,1200,0.01,57.15,42.84,offshore,Western English Channel & Celtic Sea,0.91,0.09,1.7,0.23
2,605,51.25,-6,2018,9,6,5,1200,0.01,57.15,42.84,offshore,Western English Channel & Celtic Sea,0.91,0.09,1.7,0.23
3,605,51.25,-6,2018,17,14,5,2800,0.01,57.15,42.84,offshore,Western English Channel & Celtic Sea,0.91,0.09,1.7,0.23
1,575,50.295,-4.1622,2018,17,14,5,2800,38.87,36.96,24.17,coastal,Celtic Sea,0.69,0.08,1.6,0.22
2,575,50.295,-4.1622,2018,11,8,5,1600,38.87,36.96,24.17,coastal,Celtic Sea,0.69,0.08,1.6,0.22
3,575,50.295,-4.1622,2018,10,7,5,1400,38.87,36.96,24.17,coastal,Celtic Sea,0.69,0.08,1.6,0.22
